sq_mt_built,n_rooms,n_bathrooms,floor,house_type_id,is_renewal_needed,built_year,has_lift,is_exterior,has_parking,raw_address,buy_price,energy_certificate,age
109,3,2,0,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",231855,no indicado,0
76,2,2,4,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",163397,no indicado,0
76,2,2,2,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",160759,no indicado,0
108,3,2,3,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",217169,no indicado,0
76,2,2,5,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",165208,no indicado,0
109,3,2,3,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",219775,no indicado,0
108,3,2,0,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",230817,no indicado,0
108,3,2,2,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",213722,no indicado,0
111,2,2,6,HouseType 5: Áticos,0,0,1,1,1,"Calle Ganados del Salobral , 12",230749,no indicado,0
115,3,2,2,HouseType 1: Pisos,0,0,1,1,1,"Calle Ganados del Salobral , 12",233789,no indicado,0
115,3,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle Ganados del Salobral , 12",230789,no indicado,0
117,3,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle Ganados del Salobral , 12",244171,no indicado,0
117,3,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle Ganados del Salobral , 12",243468,no indicado,0
117,3,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle Ganados del Salobral , 12",244798,no indicado,0
118,3,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle Ganados del Salobral , 12",219235,no indicado,0
115,3,2,5,HouseType 1: Pisos,0,0,1,1,1,"Calle Ganados del Salobral , 12",242789,no indicado,0
97,4,1,3,HouseType 1: Pisos,0,1970,0,0,0,Calle Parvillas Altas s/n,130000,E,54
106,3,2,3,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",251569,no indicado,0
103,3,2,3,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",235402,no indicado,0
103,3,2,1,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",235172,no indicado,0
103,3,2,5,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",236227,no indicado,0
114,3,2,2,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",254710,no indicado,0
150,2,1,1,HouseType 2: Casa o chalet,1,1993,0,0,1,"Calle Emilia Ballester, Madrid, 15",159000,F,31
140,3,3,7,HouseType 4: Dúplex,0,2004,1,1,0,"Calle Estefanita, 6",272500,D,20
58,3,1,2,HouseType 1: Pisos,0,1951,0,1,0,Calle del Estroncio,85000,E,73
65,3,1,1,HouseType 1: Pisos,0,0,0,1,0,Calle Moncada,94000,en trámite,0
110,4,2,1,HouseType 1: Pisos,0,1978,0,1,0,Calle de Martinez Oviol,175000,E,46
173,4,2,2,HouseType 1: Pisos,0,2003,1,1,1,no descrito,268000,en trámite,21
75,2,1,3,HouseType 5: Áticos,0,0,1,1,0,no descrito,156000,en trámite,0
90,1,1,7,HouseType 5: Áticos,0,0,1,1,1,"Calle Ganados del Salobral , 12",183159,no indicado,0
125,3,2,1,HouseType 1: Pisos,0,1996,1,1,1,"Calle de la Generosidad, 16",210000,B,28
58,2,1,0,HouseType 1: Pisos,0,1968,0,1,0,Calle de Tordegrillos,85000,en trámite,56
92,3,1,6,HouseType 1: Pisos,0,1962,1,1,0,Avenida de la Verbena de la Paloma,159900,en trámite,62
70,2,1,3,HouseType 1: Pisos,0,1975,0,1,0,"Paseo Alberto Palacios, 35",117000,en trámite,49
54,2,1,2,HouseType 1: Pisos,0,1960,0,1,0,"Calle Doctor Pérez Domínguez, 2",110000,E,64
52,2,1,1,HouseType 1: Pisos,0,0,0,1,0,no descrito,100000,E,0
108,3,1,2,HouseType 1: Pisos,0,1995,0,1,0,Calle de los Cacereños,140000,en trámite,29
65,2,1,3,HouseType 1: Pisos,0,1963,0,1,0,Calle de Campos Ibáñez,106500,no indicado,61
102,3,2,3,HouseType 1: Pisos,0,1964,0,1,0,Calle DIAMANTE,127500,en trámite,60
80,2,1,3,HouseType 1: Pisos,0,1999,1,1,1,Calle Transversal Sexta,148000,en trámite,25
108,2,1,4,HouseType 4: Dúplex,0,2002,1,1,1,Calle Canchal,205000,E,22
80,3,2,4,HouseType 1: Pisos,0,2000,1,1,1,Calle Diamante,220000,E,24
16,3,1,1,HouseType 1: Pisos,0,1970,0,1,0,Calle Platino,114000,E,54
54,2,1,3,HouseType 1: Pisos,0,1964,0,1,0,Calle Gómez Acebo,89900,G,60
70,2,2,4,HouseType 1: Pisos,0,2003,1,1,1,Calle Pilar Lorengar,210000,E,21
99,2,2,0,HouseType 1: Pisos,0,2007,1,1,0,Calle Salsipuedes,145000,E,17
